Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
31.241417476,10.413805824999999,31.438061054000002,223.477389165,10.479353684,74.492463055,10.479344640575338,10.459902017000001,10.489694368,2.8415357116848435E-4,0.016856855316709708,343.53263651140264,48.327036754604464
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,http://opoce.mondeca.com:8890/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,70
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10.527851075000001,10.614452614,0.005692141,10.000160524
2,10.397452918,10.459902017000001,0.005347902999999999,10.000193473
3,10.412473292000001,10.488464669,0.005213137,10.000172847
4,10.431491266,10.489694368,0.005887517,10.000145532000001
5,10.370922478,10.4533471,0.005629781,10.000141199
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,8.732217891,0.379661647,11.022834349999998,11.805557209,0.479253667,0.5132850959999999,4.746047344957784E8,0.41729968700000003,0.65536208,0.005008455213108112,0.07077044024950044,2.0865776703592753,1.9482350214197532,7511.679613293392,7013.6460771111115
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,230.00437392700002,10.00019017,230.00437392700002,212.89097693500003,10.00019017,9.256129431,1.0000190170714733E10,10.000145532000001,10.000232123,5.109169360323262E-10,2.260347176945007E-5,0.09999809833616394,0.10803651866090679,359.9931540101902,388.9314671792644
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,0.13479970700000002,0.005860856,0.13479970700000002,0.5175669799999999,0.005860856,0.022502912,5825583.597616859,0.0047730889999999995,0.008315494,4.770153018897868E-7,6.906629437647474E-4,170.6235403156126,44.43869309003208,614244.7451362053,159979.29512411548
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,0.146351279,0.006363099,0.146351279,0.178137827,0.006363099,0.007745122,6328167.072127787,0.005600252,0.007981897,4.925656297496284E-7,7.018302000837727E-4,157.15612785531076,129.1135246158808,565762.0602791187,464808.6886171709
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,0.128435649,0.0055841580000000005,0.128435649,0.154427265,0.0055841580000000005,0.006714228,5541736.459880007,0.004468722,0.007035628,5.121805265630551E-7,7.156678884531951E-4,179.07802751999495,148.93745044106336,644680.8990719818,536174.8215878281
