Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Minimum Mix Runtime,Maximum Mix Runtime,Variance,Standard Deviation,Operation Mixes per Hour,Actual Operation Mixes per Hour
31.153477905,10.384492635,31.361069296,223.75455222300002,10.453689765,74.584850741,10.453688382258827,10.447862444,10.460835646,4.3379941569841334E-5,0.006586345084327219,344.376012769497,48.267174422607596
Options Summary,
Query Endpoint,http://opoce.mondeca.com:8890/sparql
Update Endpoint,http://opoce.mondeca.com:8890/sparql
Graph Store Endpoint,null
Sanity Checking Level,0
Warmups,20
Runs,5
Random Operation Order,true
Outliers,1
Timeout,10s
Max Delay between Operations,1000s
Result Limit,Query Specified
ASK Results Format,application/sparql-results+xml
Graph Results Format,application/rdf+xml
SELECT Results Format,application/sparql-results+xml
Parallel Threads,100
Result Counting,false
,
Run Summary,
Run,Total Response Time,Total Runtime,Min Query Runtime,Max Query Runtime
1,10.39907143,10.467658514,0.005274127,10.000167329
2,10.397077263,10.460835646,0.005043494,10.000173608999999
3,10.373277281,10.447862444,0.005254832,10.000167900000001
4,10.383123360999999,10.452371206,0.005054421999999999,10.000182166
5,10.372420894000001,10.443938674000002,0.004764325000000001,10.000161072000001
,
Operation Summary,
Operation,Type,Total Response Time,Average Response Time (Arithmetic),Total Runtime,Actual Runtime,Average Runtime (Arithmetic),Actual Average Runtime (Arithmetic),Average Runtime (Geometric),Min Runtime,Max Runtime,Variance,Standard Deviation,Operations per Second,Actual Operations per Second,Operations per Hour,Actual Operations per Hour
/home/mondeca/bench/cmd/queries/group3/q1.rq,Remote SPARQL Query,8.871012908,0.385696213,11.331597126999998,12.214399943,0.492678135,0.531060867,4.849439306103542E8,0.427372831,0.6957727579999999,0.008929026521013232,0.09449352634447099,2.0297227113600242,1.8830233258365845,7307.001760896087,6778.883973011704
/home/mondeca/bench/cmd/queries/group3/q2.rq,Remote SPARQL Update,230.004400627,10.000191331,230.004400627,212.878988136,10.000191331,9.255608179000001,1.000019133159204E10,10.000163110999999,10.000236593,3.48596802161136E-10,1.8670747230926138E-5,0.09999808672660686,0.10804260299921668,359.99311221578466,388.95337079718007
/home/mondeca/bench/cmd/queries/group3/q3.rq,Remote SPARQL Update,0.149380774,0.0064948160000000005,0.149380774,0.203532525,0.0064948160000000005,0.00884924,6268451.824474453,0.004764325000000001,0.01194656,4.128212401521291E-6,0.0020318002858355174,153.96895000566604,113.00405458547853,554288.2200203978,406814.59650772274
/home/mondeca/bench/cmd/queries/group3/q4.rq,Remote SPARQL Update,0.14738004799999999,0.006407828,0.14738004799999999,0.181185052,0.006407828,0.00787761,6349213.541985089,0.005432442,0.008896823,8.817349179946046E-7,9.390074110434936E-4,156.0591201886193,126.94205476026357,561812.8326790294,456991.3971369489
/home/mondeca/bench/cmd/queries/group3/q5.rq,Remote SPARQL Update,0.133766985,0.005815954999999999,0.133766985,0.168683795,0.005815954999999999,0.007334078,5768110.976066792,0.0045223979999999995,0.006912384000000001,5.685023117106643E-7,7.539909228304173E-4,171.94080765755584,136.34979066216638,618986.907567201,490859.246383799
